Product,Date,Campaign Name,Target Audience,Message,Total,Delivered,Read,Failed,Pending,Status
Balance Buildup,19-12-2023,Balance_Buildup_MAB,Customers,"Maintain Balance of Rs.2000 and above, till 31st December to get a cashback of Rs.25 and a Free BrainGymJr subscription worth ₹ 199. - Fino Payments Bank",21489,20441,5799,33,1015,Completed
Bhavishya * Braingym,19-12-2023,Bhavishya_Newly_Onboarded,Customers,"पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO90* कोड का उपयोग करें ।",32424,30293,6304,55,2076,Completed
Bhavishya * Braingym,19-12-2023,Bhavishya_Renewal,Customers,"पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO30* कोड का उपयोग करें ।",13979,13194,2418,30,755,Completed
Day 1,19-12-2023,CDP_Day_1,Customers,"निर्बाध और सुविधाजनक बैंकिंग का आनंद लेने के लिए फिनोपे ऐप डाउनलोड करें।

-फिनो पेमेंट्स बैंक",1683,1503,402,44,136,Completed
DBTR,19-12-2023,DBTR,Distributors,"Please activate your inactive merchants in this month and earn Rs.100/- on each activation. Higher active base always help to get higher monthly commission. Offer valid for December only for very Selective Business Partners/Distributors. For any assistance or information contact your Relationship Manager, or type ASSIST and send SMS to 7836878368.",81,72,27,6,3,Completed
DBTR,20-12-2023,DBTR,Distributors,"Please activate your inactive merchants in this month and earn Rs.100/- on each activation. Higher active base always help to get higher monthly commission. Offer valid for December only for very Selective Business Partners/Distributors. For any assistance or information contact your Relationship Manager, or type ASSIST and send SMS to 7836878368.",79,31,9,48,0,Completed
Day 2,20-12-2023,Day_2,Customers," अब अपने बचत खाते की शेष राशि पर 7.5% तक का अधिक ब्याज दर प्राप्त करें।

-फिनो पेमेंट्स बैंक",1823,1651,447,39,133,Completed
Balance Buildup,20-12-2023,Balance_Buildup_Debit_Card,Customers,**₹2 लाख* तक का बीमा कवर और *₹25* का अतिरिक्त कैशबैक पाने के लिए अपने कार्ड को सक्रिय रखें। साथ ही पाइये एक महीने के लिए ₹199 मूल्य का ब्रेन जिम जुनियर सब्सक्रिप्शन। - फिनो पेमेंट्स बैंक,21402,812,238,20561,29,Completed
DBTR,21-12-2023,DBTR,Distributors,"Please activate your inactive merchants in this month and earn Rs.100/- on each activation. Higher active base always help to get higher monthly commission. Offer valid for December only for very Selective Business Partners/Distributors. For any assistance or information contact your Relationship Manager, or type ASSIST and send SMS to 7836878368.",82,82,24,1,-1,Completed
DBTR,23-12-2023,DBTR,Distributors,"Please activate your inactive merchants in this month and earn Rs.100/- on each activation. Higher active base always help to get higher monthly commission. Offer valid for December only for very Selective Business Partners/Distributors. For any assistance or information contact your Relationship Manager, or type ASSIST and send SMS to 7836878368.",80,77,22,2,1,Completed
Balance Buildup,23-12-2023,Balance_Buildup_Debit_Card,Customers,**₹2 लाख* तक का बीमा कवर और *₹25* का अतिरिक्त कैशबैक पाने के लिए अपने कार्ड को सक्रिय रखें। साथ ही पाइये एक महीने के लिए ₹199 मूल्य का ब्रेन जिम जुनियर सब्सक्रिप्शन। - फिनो पेमेंट्स बैंक,21161,20302,4865,162,697,Completed
Bhavishya * Braingym,23-12-2023,Bhavishya_Newly_Onboarded,Customers,"पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO90* कोड का उपयोग करें ।",31348,29566,5961,645,1137,Completed
Bhavishya * Braingym,23-12-2023,Bhavishya_Renewal,Customers,"""पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO30* कोड का उपयोग करें ।""",13563,12936,2378,303,324,Completed
ReKYC through VKYC,23-12-2023,Rekyc_through_vkyc,Customers,"Dear Customer,
Re-activate your Account with Fino at your convenience.
-> Log in to your account using “FinoPay” Application
-> Click on “Your profile” (Top left corner)
-> Click on “Re-KYC through V-KYC” to complete your KYC at home
And enjoy 1 month FREE “BrainGymJr subscription” worth “Rs.199”",17537,16575,3454,321,641,Completed
MAB + FinoPay,23-12-2023,Christmas_Bonanza,Merchants,"""This December,
Earn big with Christmas Bonanza by promoting FinoPay.
Encourage your customers to maintain their Monthly Average Balance and get commission upto 0.45%.
Refer Merchant Brochure for MAB Scheme.
""",29114,28403,8383,39,672,Completed
DBTR,26-12-2023,DBTR,Distributors,"Please activate your inactive merchants in this month and earn Rs.100/- on each activation. Higher active base always help to get higher monthly commission. Offer valid for December only for very Selective Business Partners/Distributors. For any assistance or information contact your Relationship Manager, or type ASSIST and send SMS to 7836878368.",77,74,22,0,3,Completed
Balance Buildup,27-12-2023,Balance_Buildup_MAB,Customers,"Maintain Balance of Rs.2000 and above, till 31st December to get a cashback of Rs.25 and a Free BrainGymJr subscription worth ₹ 199. - Fino Payments Bank",20882,20115,5621,327,440,Completed
DBTR,27-12-2023,DBTR,Distributors,"Please activate your inactive merchants in this month and earn Rs.100/- on each activation. Higher active base always help to get higher monthly commission. Offer valid for December only for very Selective Business Partners/Distributors. For any assistance or information contact your Relationship Manager, or type ASSIST and send SMS to 7836878368.",79,34,8,45,0,Completed
ReKYC through VKYC,27-12-2023,ReKyc_through_VKYC,Customers,"Dear Customer,
Re-activate your Account with Fino at your convenience.
-> Log in to your account using “FinoPay” Application
-> Click on “Your profile” (Top left corner)
-> Click on “Re-KYC through V-KYC” to complete your KYC at home
And enjoy 1 month FREE “BrainGymJr subscription” worth “Rs.199”",17473,16671,3658,29,773,Completed
Bhavishya * Braingym,27-12-2023,Bhavishya_Newly_Onboarded,Customers,"पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO90* कोड का उपयोग करें ।",30758,29147,5627,399,1212,Completed
Bhavishya * Braingym,27-12-2023,Bhavishya_Renewals,Customers,"""पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य!
फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO30* कोड का उपयोग करें ।""",13300,12729,2262,119,452,Completed
DBTR,28-12-2023,DBTR,Distributors,"Please activate your inactive merchants in this month and earn Rs.100/- on each activation. Higher active base always help to get higher monthly commission. Offer valid for December only for very Selective Business Partners/Distributors. For any assistance or information contact your Relationship Manager, or type ASSIST and send SMS to 7836878368.",79,3,0,77,-1,Completed
Balance Buildup,28-12-2023,Balance_Buildup_Debit_Card,Customers,**₹2 लाख* तक का बीमा कवर और *₹25* का अतिरिक्त कैशबैक पाने के लिए अपने कार्ड को सक्रिय रखें। साथ ही पाइये एक महीने के लिए ₹199 मूल्य का ब्रेन जिम जुनियर सब्सक्रिप्शन। - फिनो पेमेंट्स बैंक,20826,20002,4269,455,369,Completed
Day 5,28-12-2023,Day 5,Customers,"फिनोपे पर यूपीआई सक्रिय करें और निर्बाध रूप से लेनदेन शुरू करें।

-फिनो पेमेंट्स बैंक",2865,2591,739,26,248,Completed
DBTR,29-12-2023,DBTR,Distributors,"Please activate your inactive merchants in this month and earn Rs.100/- on each activation. Higher active base always help to get higher monthly commission. Offer valid for December only for very Selective Business Partners/Distributors. For any assistance or information contact your Relationship Manager, or type ASSIST and send SMS to 7836878368.",80,4,1,76,0,Completed
Fancode OTT,02-01-2024,Fancode OTT,CASA Dump,"Download FinoPay App! Make a transaction of Rs.100 or more, and unlock exclusive FANCODE OTT subscription worth Rs.250.",48786,44927,14826,553,3306,Running
Bhavishya*Braingym,03-01-2024,Bhavishya_Newly_Onboarded,Bhavishya Newly Onboarded Customers,पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य! फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO90* कोड का उपयोग करें ।,29813,31213,6023,1957,-3357,Running
Bhavishya*Braingym,03-01-2024,Bhavishya_Renewals,Bhavishya Renewals Customers,पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य! फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO30* कोड का उपयोग करें ।,12945,14798,2475,874,-2727,Running
Day 9,03-01-2024,Day 9,CDP Customers,अब नजदीकी मर्चेंट प्वाइंट पर जाकर आसानी से अपना पैन कार्ड प्राप्त करें। -फिनो पेमेंट्स बैंक,5697,5839,1648,610,-752,Running
Bhavishya*Braingym,09-01-2024,Bhavishya_Newly_Onboarded,Bhavishya Newly Onboarded Customers,पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य! फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO90* कोड का उपयोग करें ।,29190,26086,4966,3349,-245,Running
Bhavishya*Braingym,09-01-2024,Bhavishya_Renewals,Bhavishya Renewals Customers,पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य! फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO30* कोड का उपयोग करें ।,12719,11895,2158,919,-95,Running
Day 13,09-01-2024,Day_13,CDP Customers,लेनदेन के लिए अपने रुपे डेबिट कार्ड का उपयोग करें और विशेष ऑफ़र और लाभ प्राप्त करें। -फिनो पेमेंट्स बैंक,10747,9230,2780,1587,-70,Running
Four Wheeler Insurance,17-01-2024,four_wheeler_insurance,Insurance Base,"Motor Insurance Policy Dues ? Dear customer, Your motor policy is expiring soon! *T&C Apply",165,160,49,5,0,Completed
Two Wheeler Insurance,17-01-2024,Two_wheeler_insurance,Insurance Base,Apni gadi ka insurance karva liya? Rs. 2000 ke challan ka sardard ya ek baar ke insurance ka sukoon? *T&C Apply,2079,1986,681,93,0,Completed
Annuity Payout,19-01-2024,English_annuity_pyot,Merchant Base,"KHATA KHOLNE KE SAATH AUR BAAD, SADAIV SAATH. 1.if a customer keeps maximum balance in account. 2. customer renewing account. 3.if a customer uses a Finopay app.",31364,30369,12004,989,6,Running
Two Wheeler Insurance,23-01-2024,Two Wheeler Insurance,Insurance Base,Apni gadi ka insurance karva liya? Rs. 2000 ke challan ka sardard ya ek baar ke insurance ka sukoon? *T&C Apply,2094,2024,651,70,0,Completed
Four Wheeler Insurance,23-01-2024,Four Wheeler Insurance,Insurance Base,"Motor Insurance Policy Dues ? Dear customer, Your motor policy is expiring soon! *T&C Apply",164,160,57,4,0,Completed
Bhavishya*Braingym,23-01-2024,Bhavishya Newly Onboarded,Bhavishya Newly Onboarded Customers,पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य! फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO90* कोड का उपयोग करें ।,28675,26582,7932,2084,9,Running
Bhavishya*Braingym,23-01-2024,Bhavishya Renewals,Bhavishya Renewals Customers,पाएं तेज़ दिमाग के साथ सुरक्षित भविष्य! फिनो की तरफ से अपने BrainGym Jr की फ्री सब्सक्रिप्शन को पाने के लिए इस मैसेज पर क्लिक करें और *FINO30* कोड का उपयोग करें ।,6567,6175,1133,391,1,Running
Day 1,23-01-2024,Day 1,CDP Customers,निर्बाध और सुविधाजनक बैंकिंग का आनंद लेने के लिए फिनोपे ऐप डाउनलोड करें। -फिनो पेमेंट्स बैंक,89310,80605,22452,8706,-1,Running
